images_name,text,,,,,,,,,,
Image_(1).jpg,呵！辣鸡,,,,,,,,,,
Image_(10).jpg,我只是一个宝宝却要承受这么多,,,,,,,,,,
Image_(100).jpg,吃太撑了鸭,,,,,,,,,,
Image_(1000).jpg,辣,,,,,,,,,,
Image_(1001).jpg,我大概是个辣鸡了,,,,,,,,,,
Image_(1002).jpg,草泥马 劳资两样都穿上了 你个叼卵他妈的来砍我啊,,,,,,,,,,
Image_(1003).jpg,草泥马,,,,,,,,,,
Image_(1004).jpg,"草泥马！！！
你的意思是要打架",,,,,,,,,,
Image_(1005).jpg,"草泥马的
举手举半小时了，红包呢？",,,,,,,,,,
Image_(1006).jpg,草泥马的 花心男,,,,,,,,,,
Image_(1007).jpg,5月17日，天气，暴晒啊！草泥马！甘霖娘！热死了啊！！！！！！！,,,,,,,,,,
Image_(1008).jpg,"老子劈死你这个整天闹事的狗群 草泥马B
管理员",,,,,,,,,,
Image_(1009).jpg,"你男朋友味道还不错嘛 就是软了点
草泥马，你个禽兽！",,,,,,,,,,
Image_(101).jpg,一个人也要坚强鸭,,,,,,,,,,
Image_(1010).jpg,"呜呜呜
草泥马 老子好难过",,,,,,,,,,
Image_(1011).jpg,卧槽尼玛,,,,,,,,,,
Image_(1012).jpg,我投翔了,,,,,,,,,,
Image_(1013).jpg,敲里吗听到没有敲里吗！！！,,,,,,,,,,
Image_(1014).jpg,卧草泥马,,,,,,,,,,
Image_(1015).jpg,握草泥马,,,,,,,,,,
Image_(1016).jpg,说什么我都草你妈,,,,,,,,,,
Image_(1017).jpg,丢我一个人宅这里，蓝瘦，香菇！,,,,,,,,,,
Image_(1018).jpg,我美羊羊草泥马,,,,,,,,,,
Image_(1019).jpg,在？我草泥马,,,,,,,,,,
Image_(102).jpg,今天不想加油鸭,,,,,,,,,,
Image_(1020).jpg,草泥马 不想理你,,,,,,,,,,
Image_(1021).jpg,"我就纳闷了
天天问我在呢么不上班
我是老板上尼玛上",,,,,,,,,,
Image_(1022).jpg,"这尼玛都睡觉了
QQ还是响个不停",,,,,,,,,,
Image_(1023).jpg,这尼玛是智障？,,,,,,,,,,
Image_(1024).jpg,"怎么没人装逼
这尼玛不科学啊",,,,,,,,,,
Image_(1025).jpg,"尼玛把我拍的这么丑
拉黑",,,,,,,,,,
Image_(1026).jpg,预言家！预言家！预言家！平民跳尼玛预言家！,,,,,,,,,,
Image_(1027).jpg,尼玛！不在,,,,,,,,,,
Image_(1028).jpg,"追啊！！
追啊！
梅西拿球了
我玩尼玛",,,,,,,,,,
Image_(1029).jpg,尼玛！,,,,,,,,,,
